"country"	"year"	"continent"	"population"	"life_exp"	"gdp_per_cap"	"gini"
"Saudi Arabia"	1850	"asia"	2240000	32.1	890	40
"Senegal"	1850	"africa"	1240000	25.2	576	52
"Serbia"	1850	"europe"	2800000	35.5	1740	33.7
"Seychelles"	1850	"africa"	13900	37	965	41.3
"Sierra Leone"	1850	"africa"	972000	25.1	851	41.2
"Singapore"	1850	"asia"	56400	34	1090	47
"Slovak Republic"	1850	"europe"	2390000	36.4	1830	38.3
"Slovenia"	1850	"europe"	612000	36.6	1800	22.8
"Solomon Islands"	1850	"asia"	65300	25.1	405	46.1
"Somalia"	1850	"africa"	1210000	29.4	728	50.9
"South Africa"	1850	"africa"	2090000	33.5	1310	35.2
"South Korea"	1850	"asia"	9560000	25.8	547	32
"South Sudan"	1850	"africa"	1210000	26.7	588	45
"Spain"	1850	"europe"	14800000	29.5	1640	27.4
"Sri Lanka"	1850	"asia"	2180000	32.6	927	37.2
"St. Lucia"	1850	"americas"	24600	28	968	42.6
"St. Vincent and the Grenadines"	1850	"americas"	30000	26	1030	40
"Sudan"	1850	"africa"	4690000	31.4	601	33.9
"Suriname"	1850	"americas"	101000	32.9	2010	45.6
"Swaziland"	1850	"africa"	86000	32.3	567	60.5
"Sweden"	1850	"europe"	3440000	44.7	1790	33.6
"Switzerland"	1850	"europe"	2370000	38	3710	45.4
"Syria"	1850	"asia"	1480000	31.1	1120	50.3
"Tajikistan"	1850	"asia"	615000	24.2	664	36.4
"Tanzania"	1850	"africa"	3360000	32.2	611	27.9
"Thailand"	1850	"asia"	5250000	30.4	975	40.8
"Timor-Leste"	1850	"asia"	192000	28.9	575	35.9
"Togo"	1850	"africa"	581000	31.3	791	43.6
"Tonga"	1850	"asia"	18600	28.2	736	37.7
"Trinidad and Tobago"	1850	"americas"	83000	38.8	1450	45.5
"Tunisia"	1850	"africa"	1050000	14	828	79.3
"Turkey"	1850	"europe"	11100000	35	1440	38
"Turkmenistan"	1850	"asia"	484000	24	1170	35
"Uganda"	1850	"africa"	2320000	25.3	538	43.6
"Ukraine"	1850	"europe"	14800000	36.6	948	27.8
"United Arab Emirates"	1850	"asia"	40200	30.7	1200	40
"United Kingdom"	1850	"europe"	22600000	42.8	4480	44.7
"United States"	1850	"americas"	24100000	39.4	3060	41.3
"Uruguay"	1850	"americas"	143000	32.9	3560	54.7
"Uzbekistan"	1850	"asia"	2530000	26.9	552	33.9
"Vanuatu"	1850	"asia"	31500	24.3	650	37.6
"Venezuela"	1850	"americas"	1300000	32.2	781	62.8
"Vietnam"	1850	"asia"	8720000	32	845	34.2
"Yemen"	1850	"asia"	2740000	23.4	1010	53.3
"Zambia"	1850	"africa"	747000	32.6	748	54.5
"Zimbabwe"	1850	"africa"	1350000	33.7	923	27.5
"Afghanistan"	1851	"asia"	3830000	27.7	672	33
"Albania"	1851	"europe"	511000	35.4	718	38.9
"Algeria"	1851	"africa"	3320000	22	1030	59.4
"Angola"	1851	"africa"	1970000	27	773	47.1
"Antigua and Barbuda"	1851	"americas"	37000	33.5	935	40
"Argentina"	1851	"americas"	1140000	33.2	2340	36.7
"Armenia"	1851	"europe"	549000	34	581	34.8
"Australia"	1851	"asia"	787000	34	3880	39.3
"Austria"	1851	"europe"	3990000	34.4	2940	23.1
"Azerbaijan"	1851	"europe"	1170000	29.2	924	70.5
"Bahamas"	1851	"americas"	29700	35.2	1790	40
"Bahrain"	1851	"asia"	64500	30.3	1550	40
"Bangladesh"	1851	"asia"	22800000	25.5	878	28.6
"Barbados"	1851	"americas"	135000	32.1	1130	40
"Belarus"	1851	"europe"	3130000	36.2	736	51.7
"Belgium"	1851	"europe"	4460000	41.9	3480	35.5
"Belize"	1851	"americas"	25900	26.5	715	60.3
"Benin"	1851	"africa"	862000	31	695	38.8
"Bhutan"	1851	"asia"	105000	28.8	671	40.9
"Bolivia"	1851	"americas"	1370000	33	1150	39.2
"Bosnia and Herzegovina"	1851	"europe"	1120000	35.1	782	30
"Botswana"	1851	"africa"	121000	33.6	463	47
"Brazil"	1851	"americas"	7370000	32	1270	30.3
"Brunei"	1851	"asia"	4050	29.2	1680	40
"Bulgaria"	1851	"europe"	2490000	38	1270	39.7
"Burkina Faso"	1851	"africa"	2090000	29.2	498	38.1
"Burundi"	1851	"africa"	1140000	31.5	438	35.1
"Cambodia"	1851	"asia"	2240000	35	949	42
"Cameroon"	1851	"africa"	2040000	28.8	729	34.4
"Canada"	1851	"americas"	2570000	41.1	2220	29.2
"Cape Verde"	1851	"africa"	73600	33.8	606	52.5
"Central African Republic"	1851	"africa"	556000	30	494	57.6
"Chad"	1851	"africa"	1430000	30.9	487	32.3
"Chile"	1851	"americas"	1440000	32	1410	64.1
"China"	1851	"asia"	401000000	31	975	28.3
"Colombia"	1851	"americas"	2040000	32	1040	59.1
"Comoros"	1851	"africa"	72000	32.1	733	34.1
"Congo, Dem. Rep."	1851	"africa"	6340000	31.6	598	40.4
"Congo, Rep."	1851	"africa"	394000	32.7	664	52.1
"Costa Rica"	1851	"americas"	102000	30.2	1100	42.1
"Cote d Ivoire"	1851	"africa"	1340000	31.2	996	40.3
"Croatia"	1851	"europe"	1610000	36.1	1730	17.3
"Cuba"	1851	"americas"	1200000	36.3	1560	40
"Cyprus"	1851	"europe"	185000	38.5	1240	30.1
"Czech Republic"	1851	"europe"	6180000	35	2460	31.7
"Denmark"	1851	"europe"	1530000	44.6	2850	35.3
"Djibouti"	1851	"africa"	29000	29.9	884	36.5
"Dominican Republic"	1851	"americas"	154000	29.9	791	39.9
"Ecuador"	1851	"americas"	818000	32.9	647	41.9
"Egypt"	1851	"africa"	5790000	33	915	35.9
"El Salvador"	1851	"americas"	374000	28.7	1270	41.2
"Equatorial Guinea"	1851	"africa"	89100	29.8	380	40
"Eritrea"	1851	"africa"	310000	30.2	577	40
"Estonia"	1851	"europe"	445000	35.1	1170	47.8
"Ethiopia"	1851	"africa"	4580000	29.7	530	47.7
"Fiji"	1851	"asia"	137000	26.1	875	35.3
"Finland"	1851	"europe"	1620000	40.3	1520	47.1
"France"	1851	"europe"	36400000	41.8	2100	68.2
"Gabon"	1851	"africa"	205000	30.6	393	46.3
"Gambia"	1851	"africa"	130000	28.8	839	39.6
"Georgia"	1851	"europe"	1430000	31.9	631	26.9
"Germany"	1851	"europe"	33900000	38.4	2150	41.3
"Ghana"	1851	"africa"	1730000	28	724	36.2
"Greece"	1851	"europe"	3080000	36.6	1820	51.6
"Grenada"	1851	"americas"	32400	37.3	1100	40
"Guatemala"	1851	"americas"	863000	25.8	1110	37.4
"Guinea"	1851	"africa"	1290000	30	481	34.4
"Guinea-Bissau"	1851	"africa"	268000	32	799	49.5
"Guyana"	1851	"americas"	206000	31.1	1500	39.5
"Haiti"	1851	"americas"	952000	29	871	47.5
"Honduras"	1851	"americas"	337000	33.9	1000	58.5
"Hungary"	1851	"europe"	5200000	36	1590	26.7
"Iceland"	1851	"europe"	75200	30	1300	25.8
"India"	1851	"asia"	197000000	25.4	1050	37.7
"Indonesia"	1851	"asia"	22200000	30	1040	33.2
"Iran"	1851	"asia"	7660000	25.6	1040	63.1
"Iraq"	1851	"asia"	1370000	31.2	1100	44.7
"Ireland"	1851	"europe"	4980000	38.3	2090	27.1
"Israel"	1851	"asia"	216000	32	886	34.7
"Italy"	1851	"europe"	24600000	29.7	2430	52.8
"Jamaica"	1851	"americas"	414000	34.2	914	41.3
"Japan"	1851	"asia"	32300000	36.4	1130	40.6
"Jordan"	1851	"asia"	246000	31.7	1110	36.9
"Kazakhstan"	1851	"asia"	2710000	26.2	1430	35.3
"Kenya"	1851	"africa"	2580000	25.5	1000	54.1
"Kiribati"	1851	"asia"	19600	24.9	576	37
"Kuwait"	1851	"asia"	81300	26	1330	40
"Kyrgyz Republic"	1851	"asia"	705000	23.9	669	36.9
"Lao"	1851	"asia"	632000	31.9	934	32.6
"Latvia"	1851	"europe"	786000	33	939	45
"Lebanon"	1851	"asia"	415000	29.7	1360	50.2
"Lesotho"	1851	"africa"	349000	32.8	405	56
"Liberia"	1851	"africa"	405000	31.1	869	36.5
"Libya"	1851	"africa"	629000	33.1	1540	40
"Lithuania"	1851	"europe"	1040000	28.9	1590	44.6
"Luxembourg"	1851	"europe"	156000	36.9	2100	33.8
"Macedonia, FYR"	1851	"europe"	516000	36.1	888	31.1
"Madagascar"	1851	"africa"	2080000	30.5	667	38.8
"Malawi"	1851	"africa"	737000	30.3	353	44.8
"Malaysia"	1851	"asia"	545000	30.6	1060	21.3
"Maldives"	1851	"asia"	50700	32.6	842	41.3
"Mali"	1851	"africa"	1870000	26.4	611	49.2
"Malta"	1851	"europe"	164000	28.7	1040	28
"Mauritania"	1851	"africa"	435000	32	614	40.3
"Mauritius"	1851	"africa"	210000	36.1	1100	38.6
"Mexico"	1851	"americas"	7810000	26.9	1290	30.6
"Micronesia, Fed. Sts."	1851	"asia"	19300	26.7	534	42.4
"Moldova"	1851	"europe"	948000	33.1	737	43.4
"Mongolia"	1851	"asia"	649000	31.8	626	32
"Montenegro"	1851	"europe"	167000	35.4	1360	30.2
"Morocco"	1851	"africa"	3320000	33.1	756	59
"Mozambique"	1851	"africa"	2740000	30.3	402	54.6
"Myanmar"	1851	"asia"	3950000	30.8	846	27.6
"Namibia"	1851	"africa"	229000	32.4	860	51.4
"Nepal"	1851	"asia"	4370000	32.8	659	25.8
"Netherlands"	1851	"europe"	3140000	40	4700	45.8
"New Zealand"	1851	"asia"	98400	34	2030	38.2
"Nicaragua"	1851	"americas"	349000	25.4	1360	39.4
"Niger"	1851	"africa"	1470000	30.8	520	34.9
"Nigeria"	1851	"africa"	13800000	30.4	1020	45.9
"North Korea"	1851	"asia"	4450000	26	549	37
"Norway"	1851	"europe"	1420000	49.7	1780	32.5
"Oman"	1851	"asia"	348000	32.3	1040	40
"Pakistan"	1851	"asia"	15100000	25.8	1020	26.1
"Palestine"	1851	"asia"	170000	32.1	1230	34
"Panama"	1851	"americas"	136000	32.9	1200	40.5
"Papua New Guinea"	1851	"asia"	918000	31.5	609	30.5
"Paraguay"	1851	"americas"	335000	35.5	1230	40.8
"Peru"	1851	"americas"	2030000	35.7	1310	43
"Philippines"	1851	"asia"	3220000	30.9	1010	30.3
"Poland"	1851	"europe"	13400000	35.9	1470	31
"Portugal"	1851	"europe"	3840000	35.6	1820	38.4
"Qatar"	1851	"asia"	14100	30.8	1330	40
"Romania"	1851	"europe"	8050000	35.7	1250	40.5
"Russia"	1851	"europe"	41400000	29.6	1790	49.1
"Rwanda"	1851	"africa"	1130000	31.8	460	42.5
"Samoa"	1851	"asia"	45900	25.4	1560	42.1
"Sao Tome and Principe"	1851	"africa"	28700	31	935	32.1
"Saudi Arabia"	1851	"asia"	2240000	32.1	891	40
"Senegal"	1851	"africa"	1240000	25.2	579	52
"Serbia"	1851	"europe"	2820000	35.5	1750	33.7
"Seychelles"	1851	"africa"	13900	37	969	41.3
"Sierra Leone"	1851	"africa"	979000	25.1	855	41.2
"Singapore"	1851	"asia"	57500	34	1100	47
"Slovak Republic"	1851	"europe"	2400000	36.4	1830	38.6
"Slovenia"	1851	"europe"	618000	36.6	1810	23.1
"Solomon Islands"	1851	"asia"	65400	25.1	406	46.1
"Somalia"	1851	"africa"	1220000	29.4	728	50.9
"South Africa"	1851	"africa"	2110000	33.5	1550	35.2
"South Korea"	1851	"asia"	9570000	25.8	546	32
"South Sudan"	1851	"africa"	1220000	26.7	591	45
"Spain"	1851	"europe"	14900000	29.5	1650	27.3
"Sri Lanka"	1851	"asia"	2210000	32.6	947	37.2
"St. Lucia"	1851	"americas"	24800	28	971	42.6
"St. Vincent and the Grenadines"	1851	"americas"	30100	26	1040	40
"Sudan"	1851	"africa"	4690000	31.4	604	33.9
"Suriname"	1851	"americas"	102000	32.9	2020	45.6
"Swaziland"	1851	"africa"	86000	32.3	570	60.5
"Sweden"	1851	"europe"	3480000	43.6	1750	33.6
"Switzerland"	1851	"europe"	2390000	38	3780	45.5
"Syria"	1851	"asia"	1480000	31.1	1130	50.3
"Tajikistan"	1851	"asia"	620000	24.2	668	36.4
"Tanzania"	1851	"africa"	3370000	32.2	613	27.9
"Thailand"	1851	"asia"	5270000	30.4	976	40.6
"Timor-Leste"	1851	"asia"	194000	28.9	576	35.9
"Togo"	1851	"africa"	586000	31.3	795	43.6
"Tonga"	1851	"asia"	18600	28.2	738	37.7
"Trinidad and Tobago"	1851	"americas"	84400	38.8	1460	45.5
"Tunisia"	1851	"africa"	1050000	28.8	832	78.9
"Turkey"	1851	"europe"	11100000	35	1440	38.1
"Turkmenistan"	1851	"asia"	489000	24	1180	35
"Uganda"	1851	"africa"	2330000	25.3	540	43.6
"Ukraine"	1851	"europe"	15000000	36.6	955	27.7
"United Arab Emirates"	1851	"asia"	40200	30.7	1210	40
"United Kingdom"	1851	"europe"	22800000	41.4	4630	44.5
"United States"	1851	"americas"	24900000	39.4	3180	41.3
"Uruguay"	1851	"americas"	148000	32.9	3650	54.7
"Uzbekistan"	1851	"asia"	2550000	26.9	554	33.9
"Vanuatu"	1851	"asia"	31600	24.3	652	37.6
"Venezuela"	1851	"americas"	1320000	32.2	784	62.8
"Vietnam"	1851	"asia"	8790000	32	845	34.2
"Yemen"	1851	"asia"	2740000	23.4	1010	52.9
"Zambia"	1851	"africa"	747000	32.6	750	54.5
"Zimbabwe"	1851	"africa"	1360000	33.7	924	27.5
"Afghanistan"	1852	"asia"	3840000	27.7	674	33.6
"Albania"	1852	"europe"	515000	35.4	720	38.9
"Algeria"	1852	"africa"	3350000	28.8	1040	59
"Angola"	1852	"africa"	1980000	27	776	46.7
"Antigua and Barbuda"	1852	"americas"	37000	33.5	942	40
"Argentina"	1852	"americas"	1170000	33.2	2380	37
"Armenia"	1852	"europe"	554000	34	583	35.8
"Australia"	1852	"asia"	831000	34	4550	39.5
"Austria"	1852	"europe"	4010000	34.4	2960	23
"Azerbaijan"	1852	"europe"	1180000	29.2	929	70.5
"Bahamas"	1852	"americas"	30100	35.2	1800	40
"Bahrain"	1852	"asia"	64500	30.3	1570	40
"Bangladesh"	1852	"asia"	22900000	25.5	878	28.7
"Barbados"	1852	"americas"	137000	32.1	1140	40
"Belarus"	1852	"europe"	3160000	36.2	740	51.6
"Belgium"	1852	"europe"	4490000	41.8	3550	35.4
"Belize"	1852	"americas"	25900	26.5	720	60.3
"Benin"	1852	"africa"	871000	31	698	38.8
"Bhutan"	1852	"asia"	105000	28.8	672	40.9
"Bolivia"	1852	"americas"	1380000	33	1160	39.2
"Bosnia and Herzegovina"	1852	"europe"	1130000	35.1	782	30
"Botswana"	1852	"africa"	121000	33.6	465	47
"Brazil"	1852	"americas"	7480000	32	1230	30.2
"Brunei"	1852	"asia"	4130	29.2	1690	40
"Bulgaria"	1852	"europe"	2500000	38.1	1280	39.9
"Burkina Faso"	1852	"africa"	2100000	29.2	499	38.1
"Burundi"	1852	"africa"	1150000	31.5	439	35.1
"Cambodia"	1852	"asia"	2250000	35	950	42
"Cameroon"	1852	"africa"	2040000	28.8	733	34.1
"Canada"	1852	"americas"	2650000	41.1	2240	29.4
"Cape Verde"	1852	"africa"	74300	33.8	608	52.5
"Central African Republic"	1852	"africa"	559000	30	496	57.6
"Chad"	1852	"africa"	1430000	30.9	489	32.7
"Chile"	1852	"americas"	1460000	32	1440	64.2
"China"	1852	"asia"	399000000	30	1020	28.4
"Colombia"	1852	"americas"	2060000	32	1050	59.1
"Comoros"	1852	"africa"	72500	32.1	734	34.1
"Congo, Dem. Rep."	1852	"africa"	6380000	31.6	601	40.4
"Congo, Rep."	1852	"africa"	397000	32.7	666	52
"Costa Rica"	1852	"americas"	104000	30.2	1110	42.1
"Cote d Ivoire"	1852	"africa"	1350000	31.2	1000	40.3
"Croatia"	1852	"europe"	1630000	36.1	1740	17.5
"Cuba"	1852	"americas"	1220000	36.4	1580	40
"Cyprus"	1852	"europe"	185000	38.5	1250	30.1
"Czech Republic"	1852	"europe"	6200000	35	2470	31.9
"Denmark"	1852	"europe"	1550000	43.1	2920	35.2
"Djibouti"	1852	"africa"	29200	29.9	886	36.5
"Dominican Republic"	1852	"americas"	157000	29.9	796	39.9
"Ecuador"	1852	"americas"	830000	32.9	651	41.9
"Egypt"	1852	"africa"	5850000	33	919	35.7
"El Salvador"	1852	"americas"	380000	28.7	1280	41.2
"Equatorial Guinea"	1852	"africa"	89400	29.8	381	40
"Eritrea"	1852	"africa"	314000	30.2	579	40
"Estonia"	1852	"europe"	449000	36.2	1180	47.8
"Ethiopia"	1852	"africa"	4640000	29.7	530	47.7
"Fiji"	1852	"asia"	136000	26.1	877	35.3
"Finland"	1852	"europe"	1640000	32.9	1530	47.1
"France"	1852	"europe"	36500000	41.3	2380	68.3
"Gabon"	1852	"africa"	207000	30.6	393	46.3
"Gambia"	1852	"africa"	131000	28.8	839	39.6
"Georgia"	1852	"europe"	1440000	31.9	634	26.9
"Germany"	1852	"europe"	34200000	38.4	2180	41.4
"Ghana"	1852	"africa"	1720000	28	725	36.4
"Greece"	1852	"europe"	3100000	36.6	1830	51.6
"Grenada"	1852	"americas"	32500	37.3	1100	40
"Guatemala"	1852	"americas"	873000	25.8	1120	37.4
"Guinea"	1852	"africa"	1310000	30	482	34.4
"Guinea-Bissau"	1852	"africa"	270000	32	800	49.5
"Guyana"	1852	"americas"	207000	31.1	1510	39.5
"Haiti"	1852	"americas"	962000	29	880	47.5
"Honduras"	1852	"americas"	343000	33.9	1020	58.5
"Hungary"	1852	"europe"	5230000	36	1610	26.8
"Iceland"	1852	"europe"	75700	42.1	1320	25.8
"India"	1852	"asia"	198000000	25.4	1050	37.8
"Indonesia"	1852	"asia"	22400000	30	1050	33.1
"Iran"	1852	"asia"	7690000	25.6	1040	62.8
"Iraq"	1852	"asia"	1380000	31.2	1110	44.5
"Ireland"	1852	"europe"	4890000	38.3	2290	27.1
"Israel"	1852	"asia"	217000	32	886	34.7
"Italy"	1852	"europe"	24800000	29.7	2400	52.8
"Jamaica"	1852	"americas"	416000	34.2	913	41.3
"Japan"	1852	"asia"	32400000	36.4	1130	40.5
"Jordan"	1852	"asia"	248000	31.7	1120	36.9
"Kazakhstan"	1852	"asia"	2740000	26.2	1440	35.3
"Kenya"	1852	"africa"	2580000	25.5	1000	54.1
"Kiribati"	1852	"asia"	19800	24.9	577	37
"Kuwait"	1852	"asia"	81200	26	1330	40
"Kyrgyz Republic"	1852	"asia"	712000	23.9	675	36.9
"Lao"	1852	"asia"	637000	31.9	936	32.6
"Latvia"	1852	"europe"	793000	33	946	45
"Lebanon"	1852	"asia"	418000	29.7	1370	49.8
"Lesotho"	1852	"africa"	352000	32.8	405	56
"Liberia"	1852	"africa"	408000	31.1	871	36.5
"Libya"	1852	"africa"	633000	33.1	1560	40
"Lithuania"	1852	"europe"	1050000	28.9	1600	44.6
"Luxembourg"	1852	"europe"	157000	36.9	2130	33.8
"Macedonia, FYR"	1852	"europe"	520000	36.1	891	31.1
"Madagascar"	1852	"africa"	2090000	30.5	670	38.8
"Malawi"	1852	"africa"	738000	30.3	353	44.8
"Malaysia"	1852	"asia"	557000	30.6	1070	21.6
"Maldives"	1852	"asia"	51000	32.6	842	41.3
"Mali"	1852	"africa"	1890000	26.4	611	49.2
"Malta"	1852	"europe"	165000	28.7	1050	28
"Mauritania"	1852	"africa"	437000	32	617	40.3
"Mauritius"	1852	"africa"	218000	34.5	1100	38.6
"Mexico"	1852	"americas"	7870000	26.9	1290	31
"Micronesia, Fed. Sts."	1852	"asia"	19300	26.7	535	42.4
"Moldova"	1852	"europe"	956000	33.1	741	43.4
"Mongolia"	1852	"asia"	650000	31.8	627	32
"Montenegro"	1852	"europe"	168000	35.4	1370	30.2
"Morocco"	1852	"africa"	3340000	33.1	758	58.6
"Mozambique"	1852	"africa"	2760000	30.3	402	54.7
"Myanmar"	1852	"asia"	3960000	30.8	846	27.9
"Namibia"	1852	"africa"	229000	32.4	873	51.4
"Nepal"	1852	"asia"	4390000	32.8	659	25.8
"Netherlands"	1852	"europe"	3170000	38.7	4640	45.9
"New Zealand"	1852	"asia"	102000	34	2160	38.2
"Nicaragua"	1852	"americas"	353000	25.4	1370	39.4
"Niger"	1852	"africa"	1470000	30.8	522	34.9
"Nigeria"	1852	"africa"	13900000	30.4	1020	45.7
"North Korea"	1852	"asia"	4460000	26	549	37
"Norway"	1852	"europe"	1440000	48.5	1760	32.7
"Oman"	1852	"asia"	349000	32.3	1050	40
"Pakistan"	1852	"asia"	15200000	25.8	1020	26.5
"Palestine"	1852	"asia"	171000	32.1	1230	34
"Panama"	1852	"americas"	138000	32.9	1220	40.6
"Papua New Guinea"	1852	"asia"	923000	31.5	611	31.1
"Paraguay"	1852	"americas"	340000	35.5	1250	40.8
"Peru"	1852	"americas"	2060000	35.7	1310	43
"Philippines"	1852	"asia"	3270000	30.9	1010	30.8
"Poland"	1852	"europe"	13500000	35.9	1480	31.1
"Portugal"	1852	"europe"	3860000	35.6	1790	38.6
"Qatar"	1852	"asia"	14100	30.8	1330	40
"Romania"	1852	"europe"	8110000	35.7	1270	40.5
"Russia"	1852	"europe"	41800000	29.6	1800	48.9
"Rwanda"	1852	"africa"	1130000	31.8	460	42.5
"Samoa"	1852	"asia"	45700	25.4	1560	42.1
"Sao Tome and Principe"	1852	"africa"	28900	31	936	32.1
"Saudi Arabia"	1852	"asia"	2250000	32.1	892	40
"Senegal"	1852	"africa"	1250000	25.2	582	51.9
"Serbia"	1852	"europe"	2850000	35.5	1750	33.7
"Seychelles"	1852	"africa"	14000	37	973	41.3
"Sierra Leone"	1852	"africa"	987000	25.1	859	41.2
"Singapore"	1852	"asia"	58700	34	1100	47
"Slovak Republic"	1852	"europe"	2410000	36.4	1840	38.9
"Slovenia"	1852	"europe"	623000	36.6	1820	23.5
"Solomon Islands"	1852	"asia"	65600	25.1	407	46.1
"Somalia"	1852	"africa"	1220000	29.4	729	50.9
"South Africa"	1852	"africa"	2130000	33.5	1620	35.2
"South Korea"	1852	"asia"	9580000	25.8	546	32
"South Sudan"	1852	"africa"	1230000	26.7	594	45
"Spain"	1852	"europe"	15000000	29.5	1720	27.3
"Sri Lanka"	1852	"asia"	2240000	32.6	967	37.2
"St. Lucia"	1852	"americas"	24900	28	974	42.6
"St. Vincent and the Grenadines"	1852	"americas"	30300	26	1040	40
"Sudan"	1852	"africa"	4700000	31.4	607	33.9
"Suriname"	1852	"americas"	103000	32.9	2040	45.6
"Swaziland"	1852	"africa"	86100	32.3	573	60.5
"Sweden"	1852	"europe"	3510000	41.4	1720	33.6
"Switzerland"	1852	"europe"	2400000	38	4010	45.7
"Syria"	1852	"asia"	1490000	31.1	1130	50.3
"Tajikistan"	1852	"asia"	626000	24.2	672	36.4
"Tanzania"	1852	"africa"	3380000	32.2	614	27.9
"Thailand"	1852	"asia"	5300000	30.4	978	40.4
"Timor-Leste"	1852	"asia"	196000	28.9	577	35.9
"Togo"	1852	"africa"	591000	31.3	799	43.6
"Tonga"	1852	"asia"	18600	28.2	741	37.7
"Trinidad and Tobago"	1852	"americas"	85900	38.8	1470	45.5
"Tunisia"	1852	"africa"	1060000	28.8	836	78.5
"Turkey"	1852	"europe"	11100000	35	1450	38.3
"Turkmenistan"	1852	"asia"	493000	24	1190	35
"Uganda"	1852	"africa"	2340000	25.3	543	43.6
"Ukraine"	1852	"europe"	15100000	36.6	961	27.6
"United Arab Emirates"	1852	"asia"	40200	30.7	1210	40
"United Kingdom"	1852	"europe"	23000000	40.9	4780	44.5
"United States"	1852	"americas"	25600000	39.4	3340	41.3
"Uruguay"	1852	"americas"	155000	32.9	3730	54.7
"Uzbekistan"	1852	"asia"	2580000	26.9	556	33.9
"Vanuatu"	1852	"asia"	31700	24.3	654	37.6
"Venezuela"	1852	"americas"	1340000	32.2	788	62.8
"Vietnam"	1852	"asia"	8860000	32	844	34.2
"Yemen"	1852	"asia"	2750000	23.4	1020	52.6
"Zambia"	1852	"africa"	747000	32.6	752	54.5
"Zimbabwe"	1852	"africa"	1370000	33.7	925	27.5
"Afghanistan"	1853	"asia"	3860000	27.7	676	34.3
"Albania"	1853	"europe"	519000	35.4	721	38.9
"Algeria"	1853	"africa"	3370000	28.8	1050	58.5
"Angola"	1853	"africa"	2000000	27	779	46.4
"Antigua and Barbuda"	1853	"americas"	37000	33.5	948	40
"Argentina"	1853	"americas"	1200000	33.2	2410	37.5
"Armenia"	1853	"europe"	559000	34	585	36.8
"Australia"	1853	"asia"	877000	34	4980	39.6
"Austria"	1853	"europe"	4040000	34.4	2990	22.9
"Azerbaijan"	1853	"europe"	1190000	29.2	934	70.5
"Bahamas"	1853	"americas"	30500	35.2	1810	40
"Bahrain"	1853	"asia"	64500	30.3	1580	40
"Bangladesh"	1853	"asia"	23000000	25.5	879	28.9
"Barbados"	1853	"americas"	138000	32.1	1140	40
"Belarus"	1853	"europe"	3190000	36.2	744	51.4
"Belgium"	1853	"europe"	4530000	41.3	3620	35.4
"Belize"	1853	"americas"	25900	26.5	725	60.3
"Benin"	1853	"africa"	879000	31	702	38.7
"Bhutan"	1853	"asia"	106000	28.8	674	40.9
"Bolivia"	1853	"americas"	1390000	33	1170	39.2
"Bosnia and Herzegovina"	1853	"europe"	1140000	35.1	783	30
"Botswana"	1853	"africa"	121000	33.6	467	47
"Brazil"	1853	"americas"	7600000	32	1160	30.2
"Brunei"	1853	"asia"	4220	29.2	1700	40
"Bulgaria"	1853	"europe"	2500000	38.1	1280	40.2
"Burkina Faso"	1853	"africa"	2120000	29.2	499	38.1
"Burundi"	1853	"africa"	1160000	31.5	439	35.1
"Cambodia"	1853	"asia"	2250000	35	951	42
"Cameroon"	1853	"africa"	2050000	28.8	736	33.9
"Canada"	1853	"americas"	2730000	41.2	2260	29.7
"Cape Verde"	1853	"africa"	74900	33.8	611	52.5
"Central African Republic"	1853	"africa"	562000	30	499	57.6
"Chad"	1853	"africa"	1430000	30.9	492	33.2
"Chile"	1853	"americas"	1490000	32	1390	64.3
"China"	1853	"asia"	397000000	29	1010	28.5
"Colombia"	1853	"americas"	2090000	32	1050	59.1
"Comoros"	1853	"africa"	73100	32.1	735	34.1
"Congo, Dem. Rep."	1853	"africa"	6420000	31.6	603	40.4
"Congo, Rep."	1853	"africa"	400000	32.7	668	51.8
"Costa Rica"	1853	"americas"	105000	30.2	1120	42.1
"Cote d Ivoire"	1853	"africa"	1360000	31.2	1000	40.3
"Croatia"	1853	"europe"	1640000	36.1	1750	17.8
"Cuba"	1853	"americas"	1240000	36.4	1600	40
"Cyprus"	1853	"europe"	185000	38.5	1260	30.1
"Czech Republic"	1853	"europe"	6230000	35	2480	32.2
"Denmark"	1853	"europe"	1560000	38.6	2910	35.1
"Djibouti"	1853	"africa"	29500	29.9	889	36.5
"Dominican Republic"	1853	"americas"	161000	29.9	800	39.9
"Ecuador"	1853	"americas"	841000	32.9	655	41.9
"Egypt"	1853	"africa"	5910000	33	923	35.3
"El Salvador"	1853	"americas"	385000	28.7	1290	41.2
"Equatorial Guinea"	1853	"africa"	89700	29.8	381	40
"Eritrea"	1853	"africa"	318000	30.2	580	40
"Estonia"	1853	"europe"	453000	37.3	1190	47.8
"Ethiopia"	1853	"africa"	4710000	29.7	530	47.7
"Fiji"	1853	"asia"	136000	26.1	880	35.3
"Finland"	1853	"europe"	1650000	33.6	1540	47.1
"France"	1853	"europe"	36600000	42.5	2640	68.3
"Gabon"	1853	"africa"	209000	30.6	393	46.3
"Gambia"	1853	"africa"	132000	28.8	840	39.6
"Georgia"	1853	"europe"	1450000	31.9	637	26.9
"Germany"	1853	"europe"	34500000	38.4	2160	41.5
"Ghana"	1853	"africa"	1720000	28	726	36.6
"Greece"	1853	"europe"	3130000	36.6	1840	51.6
"Grenada"	1853	"americas"	32500	37.3	1110	40
